product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,images
Kyrie 6 'Enlightenment',BQ4630-500,10995,8797,0,Nike,"In spiritual circles, the colour purple represents enlightenment. It speaks to being fully connected to your spiritual mind by tapping into an inner source of potential that was otherwise undiscovered. The Kyrie 6 'Enlightenment' plays up the unseen spirituality theme with an all-seeing eye graphic on the side of the upper and a purple colour scheme.",4.4,10,"[""https://static.nike.com/a/images/t_PDP_1728_v1/cd6f7b5f-ad1d-48a8-b129-1f9d3f1bf72e/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cb449591-d240-4124-b9e0-52e997ce1966/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/1462f2f5-0e0a-453d-9609-f88332a7426b/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a9041631-d8a4-4e5e-80c3-f2f5961b9b9f/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/3cb97826-be60-45be-b837-f619d2ea242b/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/db0a0959-9951-4d9c-9fb8-0e025b0c5e18/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/030690c4-019c-4938-87dd-a76aa1b16bd0/kyrie-6-enlightenment-basketball-shoe-1zgG18.jpg""]"
Nike Air Zoom Structure 22,AA1636-406,9995,6997,0,Nike,"The Nike Air Zoom Structure 22 Men's Running Shoe looks fast and feels secure. Engineered mesh, a heel overlay and dynamic support throughout the midfoot all work together to provide a smooth, stable ride.",3.6,10,"[""https://static.nike.com/a/images/t_PDP_1728_v1/ifyiehgaotfuagfnnpml/air-zoom-structure-22-running-shoe-p0J6cn.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/b2siufjif4r90wzn5idg/air-zoom-structure-22-running-shoe-p0J6cn.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jecbk4byoh7akntq678f/air-zoom-structure-22-running-shoe-p0J6cn.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dfpvw0ekknwwcw19d1nv/air-zoom-structure-22-running-shoe-p0J6cn.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gq5f2nuxfwjotvifckhg/air-zoom-structure-22-running-shoe-p0J6cn.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ywp4ybxluy3dvikcvryo/air-zoom-structure-22-running-shoe-p0J6cn.jpg""]"
Nike Drop-Type Mid,BQ5190-101,6995,4897,0,Nike,"Part of the N354 family that nods to Steve Prefontaine's fastest mile, the Nike Drop-Type Mid is inspired by classic tennis shoes in the NikeCourt family. With distinct design lines that borrow from the All Court 2, it puts a raw, experimental edge on an iconic look.",5.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/tohghzwfreuerhbmki4z/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a1vlk8x7rayeqqrknk4b/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qvvb2srvljztynvqqlis/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/waz1eqpazoocrkwedfjb/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/blgbdgztgsiliqetgnru/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/l8akufzrxrrn2xqdknbp/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/q79mhnivcwmxfua9v7hd/drop-type-mid-shoe-T3Gb43.jpg""]"
Nike PhantomVNM Club FG,AO0577-717,4995,3497,0,Nike,"The Nike PhantomVNM Club FG is engineered for powerful, precise strikes that win games. A microtexture on the soft synthetic upper provides ball control, while the firm-ground plate provides the traction needed to unleash at any moment.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/okjswezbkmum2dspmy1v/phantomvnm-club-fg-football-boot-dtCFTs.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/uev6ticnxqbxm8et9flh/phantomvnm-club-fg-football-boot-dtCFTs.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/eal9vsaslaqswcioz4zr/phantomvnm-club-fg-football-boot-dtCFTs.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ejv5f5l4oezq9xxn5pxf/phantomvnm-club-fg-football-boot-dtCFTs.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/mqr2lpgiw7gymdhiigtu/phantomvnm-club-fg-football-boot-dtCFTs.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xkznlqyx0tkbh4vqcldw/phantomvnm-club-fg-football-boot-dtCFTs.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/klrf5bvm4fv9wsi3enkq/phantomvnm-club-fg-football-boot-dtCFTs.jpg""]"
Nike Air Max 270 React,CT2535-001,14995,8997,0,Nike,The Nike Air Max 270 React takes comfort to the next level by adding Nike React foam to the eye-catching Max Air unit in the heel. Transparent overlays in the upper create a futuristic look that's both durable and supportive.,0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/bfx6spt5hl6ruccnnjxp/air-max-270-react-shoe-xwVbB7.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dlhgvpvojm3hgxyrgkbh/air-max-270-react-shoe-xwVbB7.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/k1foiexnawmkbytvnvja/air-max-270-react-shoe-xwVbB7.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rur4sghigw4cgqhccwma/air-max-270-react-shoe-xwVbB7.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/oizsgpjdikldfuxgbnea/air-max-270-react-shoe-xwVbB7.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/zxgjllnpp485icdm9fsr/air-max-270-react-shoe-xwVbB7.jpg""]"
Nike Mercurial Superfly 7 Academy MDS IC,BQ5430-401,8995,6297,0,Nike,"Dream of speed and play fast in the Nike Mercurial Superfly 7 Academy MDS IC. The soft upper wraps your foot for a second-skin fit, while the rubber sole helps supercharge traction on the court or the street.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/ughdxyip51viqnalkcnj/mercurial-superfly-7-academy-mds-ic-indoor-court-football-shoe-cXMvKC.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dtuwrrw4akvz2hotmmp9/mercurial-superfly-7-academy-mds-ic-indoor-court-football-shoe-cXMvKC.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f9reza6lbdpufkd2pu7w/mercurial-superfly-7-academy-mds-ic-indoor-court-football-shoe-cXMvKC.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xyk13rlyuvxxhydncxjt/mercurial-superfly-7-academy-mds-ic-indoor-court-football-shoe-cXMvKC.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pc4lonbc0xza96vtl8vk/mercurial-superfly-7-academy-mds-ic-indoor-court-football-shoe-cXMvKC.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xdrp4pw0lgfmez99eawd/mercurial-superfly-7-academy-mds-ic-indoor-court-football-shoe-cXMvKC.jpg""]"
Nike Air Max 97 SE,AQ4126-100,15995,12797,0,Nike,The Nike Air Max 97 shook up the running world with its revolutionary full-length Nike Air unit. The Nike Air Max 97 SE Men's Shoe refreshes the original design with new colours and materials.,4.5,2,"[""https://static.nike.com/a/images/t_PDP_1728_v1/xiis07axcjpfmuoyos6a/air-max-97-se-shoe-q9Bs5B.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qrvbha4fmsl1oha6lwj8/air-max-97-se-shoe-q9Bs5B.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tvdfyzw7kzpthjgwjdik/air-max-97-se-shoe-q9Bs5B.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jimidofx531ovjn6j31x/air-max-97-se-shoe-q9Bs5B.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/csng5odujduvluv2n7ox/air-max-97-se-shoe-q9Bs5B.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gfoxpubtgarmh8de21kl/air-max-97-se-shoe-q9Bs5B.jpg""]"
NikeCourt Air Zoom Resistance,918194-003,6995,5597,0,Nike,The NikeCourt Air Zoom Resistance delivers lightweight durability on the hard court with a performance leather upper.,2.5,6,"[""https://c.static-nike.com/a/images/t_PDP_1728_v1/lgfw4aolloviovvbaczw/nikecourt-air-zoom-resistance-hard-court-tennis-shoe-gvgEEn.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/qfvhbnmkibiycc3ib6ji/nikecourt-air-zoom-resistance-hard-court-tennis-shoe-gvgEEn.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/zt1g6r43hbzwexh6icis/nikecourt-air-zoom-resistance-hard-court-tennis-shoe-gvgEEn.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/coux7kpjmxwc09dhxhjm/nikecourt-air-zoom-resistance-hard-court-tennis-shoe-gvgEEn.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/m8ie2wxdb622l855oqw4/nikecourt-air-zoom-resistance-hard-court-tennis-shoe-gvgEEn.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/ns2f8xwxftceciwoj8sb/nikecourt-air-zoom-resistance-hard-court-tennis-shoe-gvgEEn.jpg""]"
Nike Benassi JDI SE,CK0986-002,2995,2097,0,Nike,The Nike Benassi JDI SE Slide is crafted for all-day comfort with a textile strap and lightweight cushioning.,0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/tasqyjpezjztswpgjoze/benassi-jdi-se-slide-GMVDgt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/sme6uiphhn7hmkuwtlot/benassi-jdi-se-slide-GMVDgt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dk8hnig91g2tgh0dlm8g/benassi-jdi-se-slide-GMVDgt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/v5vzu0e6whz0hicmc8lp/benassi-jdi-se-slide-GMVDgt.jpg""]"
Air Jordan 11 Retro Low,528895-003,16995,11897,0,Nike,"Since bursting onto the basketball scene in 1996, the Air Jordan 11 Retro Low Men's Shoe has been one of the most beloved Jordan designs ever. Signature details and Nike Air cushioning combine for the ultimate fusion of style and comfort.",4.4,25,"[""https://c.static-nike.com/a/images/t_PDP_1728_v1/mraaehf0e5xklwt1fde4/air-jordan-11-retro-low-shoe-Xnln0p.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/l3ejo6vyzhu8fpsorcxz/air-jordan-11-retro-low-shoe-Xnln0p.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/gpgnbilzp2kaesqgsezi/air-jordan-11-retro-low-shoe-Xnln0p.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/ay6ox375b7yeg7zggogj/air-jordan-11-retro-low-shoe-Xnln0p.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/csbeksanzo6gdmfhp6le/air-jordan-11-retro-low-shoe-Xnln0p.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/rigkpcbbjoqhxud9lg1j/air-jordan-11-retro-low-shoe-Xnln0p.jpg""]"
